unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,1INCH/USD,1.1682,1.1714,1.1609,1.1705,187.158342,219.06883931100003,2022-05-03
1651615200000,2022-05-03 22:00:00,1INCH/USD,1.168,1.1772,1.164,1.1682,149.612806,174.7776799692,2022-05-03
1651611600000,2022-05-03 21:00:00,1INCH/USD,1.1657,1.1764,1.16,1.168,678.244142,792.189157856,2022-05-03
1651608000000,2022-05-03 20:00:00,1INCH/USD,1.1627,1.1657,1.1535,1.1657,459.903883,536.1099564131,2022-05-03
1651604400000,2022-05-03 19:00:00,1INCH/USD,1.1735,1.1742,1.1576,1.1627,831.753706,967.0800339662,2022-05-03
1651600800000,2022-05-03 18:00:00,1INCH/USD,1.1866,1.1866,1.1685,1.1735,439.177321,515.3745861935,2022-05-03
1651597200000,2022-05-03 17:00:00,1INCH/USD,1.1887,1.2024,1.1866,1.1866,401.80493,476.78172993800007,2022-05-03
1651593600000,2022-05-03 16:00:00,1INCH/USD,1.1958,1.2008,1.1801,1.1887,8095.594879,9623.2336326673,2022-05-03
1651590000000,2022-05-03 15:00:00,1INCH/USD,1.187,1.1999,1.187,1.1958,78.182261,93.4903477038,2022-05-03
1651586400000,2022-05-03 14:00:00,1INCH/USD,1.1964,1.2013,1.1847,1.187,406.949117,483.0486018790001,2022-05-03
1651582800000,2022-05-03 13:00:00,1INCH/USD,1.2024,1.2094,1.1901,1.1964,1797.990791,2151.1161823524,2022-05-03
1651579200000,2022-05-03 12:00:00,1INCH/USD,1.2079,1.2097,1.1947,1.2024,318.446981,382.9006499544,2022-05-03
1651575600000,2022-05-03 11:00:00,1INCH/USD,1.1884,1.2092,1.1863,1.2079,774.736439,935.8041446681,2022-05-03
1651572000000,2022-05-03 10:00:00,1INCH/USD,1.1936,1.1977,1.1866,1.1884,669.78252,795.9695467679999,2022-05-03
1651568400000,2022-05-03 09:00:00,1INCH/USD,1.2114,1.2114,1.1936,1.1936,12245.06456,14615.709058816,2022-05-03
1651564800000,2022-05-03 08:00:00,1INCH/USD,1.2186,1.2187,1.2083,1.2114,400.740123,485.4565850022,2022-05-03
1651561200000,2022-05-03 07:00:00,1INCH/USD,1.214,1.2187,1.2033,1.2186,3204.744326,3905.3014356636,2022-05-03
1651557600000,2022-05-03 06:00:00,1INCH/USD,1.2216,1.2635,1.2111,1.214,171.866411,208.645822954,2022-05-03
1651554000000,2022-05-03 05:00:00,1INCH/USD,1.217,1.2247,1.203,1.2216,1066.044497,1302.2799575352,2022-05-03
1651550400000,2022-05-03 04:00:00,1INCH/USD,1.2044,1.2348,1.2044,1.217,629.903808,766.5929343360001,2022-05-03
1651546800000,2022-05-03 03:00:00,1INCH/USD,1.1826,1.2276,1.1819,1.2044,204.364593,246.1367158092,2022-05-03
1651543200000,2022-05-03 02:00:00,1INCH/USD,1.1763,1.1852,1.1691,1.1826,560.89374,663.312936924,2022-05-03
1651539600000,2022-05-03 01:00:00,1INCH/USD,1.1606,1.1774,1.153,1.1763,1517.570439,1785.1181073957,2022-05-03
1651536000000,2022-05-03 00:00:00,1INCH/USD,1.1752,1.1771,1.1576,1.1606,1628.661545,1890.224589127,2022-05-03
